flight_number,is_summer_vacation,is_holyday,f_month,week_day,company,arrival_country,depurture_country,flight_type,weather_dep,weather_arr,punctuality,f_status,scheduled_arr_time,scheduled_dep_time,updated_arr_time,updated_dep_time,webcite,time_info_taken
345,false,false,8,6,,,,,,,,scheduled,3.9.2022 0:40:00,2.9.2022 23:55:00,,,https://airlabs.co/,02-09-2022  16:51:46
2346,false,false,8,7,,,,,,,,scheduled,3.9.2022 3:55:00,3.9.2022 0:45:00,,,https://airlabs.co/,02-09-2022  16:51:46
145,false,false,8,7,,,,,,,,scheduled,3.9.2022 13:05:00,3.9.2022 0:50:00,,,https://airlabs.co/,02-09-2022  16:51:46
4497,false,false,8,7,,,,,,,,scheduled,3.9.2022 13:05:00,3.9.2022 0:50:00,,,https://airlabs.co/,02-09-2022  16:51:46
8256,false,false,8,7,,,,,,,,scheduled,3.9.2022 3:10:00,3.9.2022 0:50:00,,,https://airlabs.co/,02-09-2022  16:51:46
405,false,false,8,7,,,,,,,,scheduled,3.9.2022 5:20:00,3.9.2022 1:00:00,,,https://airlabs.co/,02-09-2022  16:51:46
8807,false,false,8,7,,,,,,,,scheduled,3.9.2022 5:20:00,3.9.2022 1:00:00,,,https://airlabs.co/,02-09-2022  16:51:46
9109,false,false,8,7,,,,,,,,scheduled,3.9.2022 11:40:00,3.9.2022 5:40:00,,,https://airlabs.co/,02-09-2022  16:51:46
1604,false,false,8,7,,,,,,,,scheduled,3.9.2022 11:40:00,3.9.2022 5:40:00,,,https://airlabs.co/,02-09-2022  16:51:46
784,false,false,8,6,,Turkey,,,,,,scheduled,2.9.2022 18:30:00,2.9.2022 16:15:00,,,https://airlabs.co/,02-09-2022  16:51:46
