CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
PC,779,PEGASUS AIRLINES,2022-09-03T00:15:00,2022-09-03T01:04:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
AA,145,AMERICAN AIRLINES,2022-09-03T00:50:00,2022-09-03T01:05:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,56-63,C,DEPARTED,המריאה
UA,955,UNITED AIRLINES,2022-09-03T00:55:00,2022-09-03T01:26:00,D,SFO,SAN FRANCISCO,סן פרנסיסקו,SAN FRANCISCO,ארצות הברית,UNITED STATES,3,23-27,A,DEPARTED,המריאה
JU,8256,AIR SERBIA,2022-09-03T00:50:00,2022-09-03T01:31:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-37,B,DEPARTED,המריאה
TK,791,TURKISH AIRLINES,2022-09-03T00:50:00,2022-09-03T01:31:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-37,B,DEPARTED,המריאה
ET,405,ETHIOPIAN AIRLINES,2022-09-03T01:00:00,2022-09-03T01:38:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,28-33,A,DEPARTED,המריאה
LY,8807,EL AL ISRAEL AIRLINES,2022-09-03T01:00:00,2022-09-03T01:38:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,28-33,A,DEPARTED,המריאה
TO,3440,TRANSAVIA FRANCE,2022-09-03T00:15:00,2022-09-03T01:49:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,"","",LANDED,נחתה
A3,928,AEGEAN  AIRLINES,2022-09-03T02:00:00,2022-09-03T01:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,"","",LANDED,נחתה
IZ,514,ARKIA  ISRAELI  AIRLINES,2022-09-03T01:55:00,2022-09-03T02:04:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",LANDED,נחתה
TK,810,TURKISH AIRLINES,2022-09-03T02:10:00,2022-09-03T02:16:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
QAS,9HVCO,QUALITY AIR SERVICES,2022-09-03T02:00:00,2022-09-03T02:19:00,A,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,3,"","",LANDED,נחתה
DL,9575,DELTA AIRLINES,2022-09-03T02:35:00,2022-09-03T02:42:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",LANDED,נחתה
KL,461,K.L.M.,2022-09-03T02:35:00,2022-09-03T02:42:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",LANDED,נחתה
PC,787,PEGASUS AIRLINES,2022-09-03T02:05:00,2022-09-03T03:03:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
XC,411,CORONDON AIRLINES,2022-09-03T02:30:00,2022-09-03T03:09:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
XC,489,CORONDON AIRLINES,2022-09-03T03:30:00,2022-09-03T03:20:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
AZ,810,ITALIA TRASPORTO AEREO,2022-09-03T03:50:00,2022-09-03T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",LANDED,נחתה
FB,1772,BULGARIA  AIR,2022-09-03T03:50:00,2022-09-03T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",LANDED,נחתה
JU,7381,AIR SERBIA,2022-09-03T03:50:00,2022-09-03T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",LANDED,נחתה
ET,404,ETHIOPIAN AIRLINES,2022-09-03T04:00:00,2022-09-03T03:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2022-09-03T04:00:00,2022-09-03T03:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",LANDED,נחתה
LX,256,SWISS INT`L  AIRLINES,2022-09-03T03:35:00,2022-09-03T03:43:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,"","",LANDED,נחתה
TK,7782,TURKISH AIRLINES,2022-09-03T03:30:00,2022-09-03T03:48:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
LO,151,LOT POLISH AIRLINES,2022-09-03T03:45:00,2022-09-03T04:15:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,"","",LANDED,נחתה
TK,792,TURKISH AIRLINES,2022-09-03T03:30:00,2022-09-03T04:47:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
DL,5937,DELTA AIRLINES,2022-09-03T04:45:00,2022-09-03T04:53:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",LANDED,נחתה
VS,453,VIRGIN ATLANTIC AIRWAYS,2022-09-03T04:45:00,2022-09-03T04:53:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",LANDED,נחתה
DL,9176,DELTA AIRLINES,2022-09-03T04:45:00,2022-09-03T05:01:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,40-43,B,DEPARTED,המריאה
KL,462,K.L.M.,2022-09-03T04:45:00,2022-09-03T05:01:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,40-43,B,DEPARTED,המריאה
OK,5288,CZECH AIRLINES,2022-09-03T04:35:00,2022-09-03T05:10:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",LANDED,נחתה
QS,1286,SMARTWINGS,2022-09-03T04:35:00,2022-09-03T05:10:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",LANDED,נחתה
TK,793,TURKISH AIRLINES,2022-09-03T04:50:00,2022-09-03T05:10:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
6H,7768,ISRAIR AIRLINES,2022-09-03T04:35:00,2022-09-03T05:10:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",LANDED,נחתה
QS,0253P,SMARTWINGS,2022-09-03T00:40:00,2022-09-03T05:12:00,D,HRG,HURGHADA,הורגאדה,HURGHADA,מצרים,EGYPT,3,"","",DEPARTED,המריאה
AC,9021,AIR CANADA,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
LH,691,LUFTHANSA,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
NH,5460,ALL NIPPON AIRWAYS,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
SN,7170,BRUSSELS AIRLINES,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
UA,9121,UNITED AIRLINES,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
TK,7783,TURKISH AIRLINES,2022-09-03T04:50:00,2022-09-03T05:29:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
PC,786,PEGASUS AIRLINES,2022-09-03T05:10:00,2022-09-03T05:37:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,48-51,B,DEPARTED,המריאה
A3,929,AEGEAN  AIRLINES,2022-09-03T05:10:00,2022-09-03T05:57:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,61-63,C,DEPARTED,המריאה
AZ,809,ITALIA TRASPORTO AEREO,2022-09-03T05:15:00,2022-09-03T06:04:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,9-11,A,DEPARTED,המריאה
DL,6655,DELTA AIRLINES,2022-09-03T05:15:00,2022-09-03T06:04:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,9-11,A,DEPARTED,המריאה
FB,1773,BULGARIA  AIR,2022-09-03T05:15:00,2022-09-03T06:04:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,9-11,A,DEPARTED,המריאה
JU,7380,AIR SERBIA,2022-09-03T05:15:00,2022-09-03T06:04:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,9-11,A,DEPARTED,המריאה
LX,257,SWISS INT`L  AIRLINES,2022-09-03T04:50:00,2022-09-03T06:09:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,27-33,A,DEPARTED,המריאה
PC,788,PEGASUS AIRLINES,2022-09-03T06:00:00,2022-09-03T06:26:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,44-47,B,DEPARTED,המריאה
AA,8789,AMERICAN AIRLINES,2022-09-03T05:30:00,2022-09-03T06:29:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,12-16,A,DEPARTED,המריאה
IB,3317,IBERIA,2022-09-03T05:30:00,2022-09-03T06:29:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,12-16,A,DEPARTED,המריאה
LY,8397,EL AL ISRAEL AIRLINES,2022-09-03T05:30:00,2022-09-03T06:29:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,12-16,A,DEPARTED,המריאה
VY,5270,VUELING AIRLINES S.A.,2022-09-03T05:30:00,2022-09-03T06:29:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,12-16,A,DEPARTED,המריאה
XC,412,CORONDON AIRLINES,2022-09-03T06:00:00,2022-09-03T06:42:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,17-19,A,DEPARTED,המריאה
LO,152,LOT POLISH AIRLINES,2022-09-03T05:05:00,2022-09-03T06:46:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,63-65,C,DEPARTED,המריאה
QY,962,EUROPEAN AIR TRANSPORT,2022-09-03T07:10:00,2022-09-03T06:50:00,A,LEJ,LEIPZIG-HALLE,לייפציג,LEIPZIG,גרמניה,GERMANY,3,"","",LANDED,נחתה
PC,780,PEGASUS AIRLINES,2022-09-03T06:55:00,2022-09-03T06:55:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,52-55,B,CANCELED,מבוטלת
OK,5289,CZECH AIRLINES,2022-09-03T05:35:00,2022-09-03T06:57:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,2-4,A,DEPARTED,המריאה
QS,1287,SMARTWINGS,2022-09-03T05:35:00,2022-09-03T06:57:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,2-4,A,DEPARTED,המריאה
6H,7767,ISRAIR AIRLINES,2022-09-03T05:35:00,2022-09-03T06:57:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,2-4,A,DEPARTED,המריאה
TK,7787,TURKISH AIRLINES,2022-09-03T05:35:00,2022-09-03T06:59:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
OS,860,AUSTRIAN AIRLINES,2022-09-03T06:15:00,2022-09-03T07:02:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,27-33,A,DEPARTED,המריאה
FR,4103,RYANAIR,2022-09-03T07:30:00,2022-09-03T07:05:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,"","",LANDED,נחתה
DL,5936,DELTA AIRLINES,2022-09-03T06:35:00,2022-09-03T07:19:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,20-26,A,DEPARTED,המריאה
VS,454,VIRGIN ATLANTIC AIRWAYS,2022-09-03T06:35:00,2022-09-03T07:19:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,20-26,A,DEPARTED,המריאה
BZ,692,BLUE BIRD AIRWAYS,2022-09-03T07:30:00,2022-09-03T07:34:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,40-43,B,DEPARTED,המריאה
BA,166,BRITISH AIRWAYS PLC,2022-09-03T07:10:00,2022-09-03T07:38:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,71-77,C,DEPARTED,המריאה
TK,811,TURKISH AIRLINES,2022-09-03T07:00:00,2022-09-03T07:48:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
LH,683,LUFTHANSA,2022-09-03T07:15:00,2022-09-03T08:00:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
SN,7166,BRUSSELS AIRLINES,2022-09-03T07:15:00,2022-09-03T08:00:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
UA,9470,UNITED AIRLINES,2022-09-03T07:15:00,2022-09-03T08:00:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
6H,173,ISRAIR AIRLINES,2022-09-03T07:00:00,2022-09-03T08:32:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,66-69,C,DEPARTED,המריאה
XC,490,CORONDON AIRLINES,2022-09-03T08:00:00,2022-09-03T08:35:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,14-16,A,DEPARTED,המריאה
LY,9109,EL AL ISRAEL AIRLINES,2022-09-03T05:40:00,2022-09-03T08:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,58-60,C,DEPARTED,המריאה
TP,1604,AIR PORTUGAL,2022-09-03T05:40:00,2022-09-03T08:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,58-60,C,DEPARTED,המריאה
FR,4104,RYANAIR,2022-09-03T08:20:00,2022-09-03T08:47:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,59-62,C,DEPARTED,המריאה
TO,3441,TRANSAVIA FRANCE,2022-09-03T07:00:00,2022-09-03T08:53:00,D,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,56-58,C,DEPARTED,המריאה
TK,7708,TURKISH AIRLINES,2022-09-03T09:00:00,2022-09-03T08:55:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
TK,784,TURKISH AIRLINES,2022-09-03T08:55:00,2022-09-03T08:59:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
IZ,341,ARKIA  ISRAELI  AIRLINES,2022-09-03T08:30:00,2022-09-03T09:01:00,D,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,45-50,B,DEPARTED,המריאה
AC,9541,AIR CANADA,2022-09-03T08:00:00,2022-09-03T09:03:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
LH,695,LUFTHANSA,2022-09-03T08:00:00,2022-09-03T09:03:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
SN,7168,BRUSSELS AIRLINES,2022-09-03T08:00:00,2022-09-03T09:03:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
UA,9287,UNITED AIRLINES,2022-09-03T08:00:00,2022-09-03T09:03:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
FR,8057,RYANAIR,2022-09-03T09:35:00,2022-09-03T09:17:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,"","",LANDED,נחתה
BZ,802,BLUE BIRD AIRWAYS,2022-09-03T09:20:00,2022-09-03T09:20:00,D,KGS,KOS,קוס,KOS,יוון,GREECE,3,52-55,B,CANCELED,מבוטלת
5X,264,UPS AIRLINES,2022-09-03T09:35:00,2022-09-03T09:20:00,A,CGN,COLOGNE-BONN,קלן,COLOGNE,גרמניה,GERMANY,3,"","",LANDED,נחתה
6H,353,ISRAIR AIRLINES,2022-09-03T08:20:00,2022-09-03T09:23:00,D,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,3,63-66,C,DEPARTED,המריאה
UA,084,UNITED AIRLINES,2022-09-03T09:55:00,2022-09-03T09:33:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,"","",LANDED,נחתה
3U,3779,SICHUAN AIRLINES,2022-09-03T10:00:00,2022-09-03T09:35:00,A,CTU,CHENGDU,צ'נגדו,CHENGDU,סין,CHINA,3,"","",LANDED,נחתה
EK,2369,EMIRATES,2022-09-03T09:35:00,2022-09-03T09:40:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,"","",LANDED,נחתה
FZ,1549,FLYDUBAI,2022-09-03T09:35:00,2022-09-03T09:40:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,"","",LANDED,נחתה
PC,791,PEGASUS AIRLINES,2022-09-03T09:05:00,2022-09-03T09:41:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
QY,960,EUROPEAN AIR TRANSPORT,2022-09-03T09:40:00,2022-09-03T09:42:00,A,LEJ,LEIPZIG-HALLE,לייפציג,LEIPZIG,גרמניה,GERMANY,3,"","",LANDED,נחתה
W6,5561,WIZZAIR,2022-09-03T10:05:00,2022-09-03T09:49:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,"","",LANDED,נחתה
PC,795,PEGASUS AIRLINES,2022-09-03T10:10:00,2022-09-03T09:55:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
QAS,N540L,QUALITY AIR SERVICES,2022-09-03T09:55:00,2022-09-03T09:55:00,D,TEB,TETERBORO,טיטרבורו,TETERBORO,ארצות הברית,UNITED STATES,3,"","",CANCELED,מבוטלת
W6,3479,WIZZAIR,2022-09-03T10:00:00,2022-09-03T10:00:00,A,CLJ,CLUJ NAPOCA,קלוז' נפוקה,CLUJ,רומניה,ROMANIA,3,"","",LANDED,נחתה
487,4XCPY,נניח אחזקות י.פ בעמ,2022-09-03T09:55:00,2022-09-03T10:00:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,"","",DEPARTED,המריאה
U8,1842,TUS AIRWAYS,2022-09-03T09:40:00,2022-09-03T10:02:00,D,PVK,PREVEZA,פרבצה,PREVEZA,יוון,GREECE,3,40-43,B,DEPARTED,המריאה
AC,080,AIR CANADA,2022-09-03T10:00:00,2022-09-03T10:08:00,A,YYZ,TORONTO,טורונטו,TORONTO,קנדה,CANADA,3,"","",LANDED,נחתה
FX,6213,FEDERAL EXPRESS,2022-09-03T10:30:00,2022-09-03T10:24:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,"","",LANDED,נחתה
FR,4083,RYANAIR,2022-09-03T10:25:00,2022-09-03T10:26:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,"","",LANDED,נחתה
XC,413,CORONDON AIRLINES,2022-09-03T10:05:00,2022-09-03T10:29:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
FR,2005,RYANAIR,2022-09-03T10:55:00,2022-09-03T10:40:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,"","",LANDED,נחתה
FR,7161,RYANAIR,2022-09-03T11:05:00,2022-09-03T10:53:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,"","",LANDED,נחתה
PC,797,PEGASUS AIRLINES,2022-09-03T10:35:00,2022-09-03T10:56:00,A,DLM,DALAMAN,דאלאמן,DALAMAN,טורקיה,TURKEY,3,"","",LANDED,נחתה
FR,1704,RYANAIR,2022-09-03T10:55:00,2022-09-03T10:59:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,"","",LANDED,נחתה
PC,792,PEGASUS AIRLINES,2022-09-03T10:05:00,2022-09-03T11:04:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,68-71,C,DEPARTED,המריאה
W6,2325,WIZZAIR,2022-09-03T11:10:00,2022-09-03T11:05:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,"","",LANDED,נחתה
EK,2370,EMIRATES,2022-09-03T11:00:00,2022-09-03T11:07:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,19-21,A,DEPARTED,המריאה
FZ,1550,FLYDUBAI,2022-09-03T11:00:00,2022-09-03T11:07:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,19-21,A,DEPARTED,המריאה
TK,7709,TURKISH AIRLINES,2022-09-03T09:55:00,2022-09-03T11:13:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
FR,6754,RYANAIR,2022-09-03T11:20:00,2022-09-03T11:16:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,"","",LANDED,נחתה
MS,591,EGYPTAIR AIRLINES,2022-09-03T11:15:00,2022-09-03T11:19:00,A,CAI,CAIRO INTERNATIONAL,קהיר,CAIRO,מצרים,EGYPT,3,"","",LANDED,נחתה
FR,8058,RYANAIR,2022-09-03T10:45:00,2022-09-03T11:20:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,56-64,C,DEPARTED,המריאה
HU,7977,HAINAN AIRLINES,2022-09-03T11:20:00,2022-09-03T11:20:00,A,CTU,CHENGDU,צ'נגדו,CHENGDU,סין,CHINA,3,"","",CANCELED,מבוטלת
6H,753,ISRAIR AIRLINES,2022-09-03T10:00:00,2022-09-03T11:27:00,D,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3,65-67,C,DEPARTED,המריאה
IZ,275,ARKIA  ISRAELI  AIRLINES,2022-09-03T10:50:00,2022-09-03T11:30:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,45-48,B,DEPARTED,המריאה
TP,2170,AIR PORTUGAL,2022-09-03T09:30:00,2022-09-03T11:38:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,52-55,B,DEPARTED,המריאה
W6,5562,WIZZAIR,2022-09-03T10:55:00,2022-09-03T11:40:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,26-33,A,DEPARTED,המריאה
XC,414,CORONDON AIRLINES,2022-09-03T11:05:00,2022-09-03T11:44:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,22-24,A,DEPARTED,המריאה
W6,3480,WIZZAIR,2022-09-03T10:50:00,2022-09-03T11:46:00,D,CLJ,CLUJ NAPOCA,קלוז' נפוקה,CLUJ,רומניה,ROMANIA,3,26-33,A,DEPARTED,המריאה
PC,796,PEGASUS AIRLINES,2022-09-03T11:10:00,2022-09-03T11:50:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,71-74,C,DEPARTED,המריאה
TWI,501,TAILWIND AIRLINES,2022-09-03T11:45:00,2022-09-03T11:50:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
EY,598,ETIHAD AIRWAYS,2022-09-03T12:30:00,2022-09-03T12:02:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,"","",LANDED,נחתה
LY,9600,EL AL ISRAEL AIRLINES,2022-09-03T12:30:00,2022-09-03T12:02:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,"","",LANDED,נחתה
FR,4084,RYANAIR,2022-09-03T11:15:00,2022-09-03T12:10:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,56-64,C,DEPARTED,המריאה
TK,7668,TURKISH AIRLINES,2022-09-03T10:20:00,2022-09-03T12:10:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
BZ,801,BLUE BIRD AIRWAYS,2022-09-03T12:20:00,2022-09-03T12:12:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,"","",LANDED,נחתה
PC,798,PEGASUS AIRLINES,2022-09-03T11:40:00,2022-09-03T12:15:00,D,DLM,DALAMAN,דאלאמן,DALAMAN,טורקיה,TURKEY,3,74-77,C,DEPARTED,המריאה
W6,2811,WIZZAIR,2022-09-03T11:55:00,2022-09-03T12:17:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,"","",LANDED,נחתה
AC,081,AIR CANADA,2022-09-03T11:45:00,2022-09-03T12:19:00,D,YYZ,TORONTO,טורונטו,TORONTO,קנדה,CANADA,3,49-55,B,DEPARTED,המריאה
EK,2363,EMIRATES,2022-09-03T12:20:00,2022-09-03T12:19:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,"","",LANDED,נחתה
