CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,015,EL AL ISRAEL AIRLINES,2022-09-04T01:00:00,2022-09-04T01:00:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2022-09-04T01:00:00,2022-09-04T01:00:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,27-33,A,ON TIME,בזמן
AM,7875,AERO MEXICO,2022-09-04T01:05:00,2022-09-04T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2022-09-04T01:05:00,2022-09-04T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,029,EL AL ISRAEL AIRLINES,2022-09-04T01:05:00,2022-09-04T01:05:00,D,YYZ,TORONTO,טורונטו,TORONTO,קנדה,CANADA,3,78-99,D,ON TIME,בזמן
A3,458,AEGEAN  AIRLINES,2022-09-04T01:50:00,2022-09-04T01:50:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,"","",FINAL,סופי
A3,456,AEGEAN  AIRLINES,2022-09-04T01:50:00,2022-09-04T01:55:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,"","",FINAL,סופי
A3,928,AEGEAN  AIRLINES,2022-09-04T02:00:00,2022-09-04T01:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,"","",FINAL,סופי
PC,779,PEGASUS AIRLINES,2022-09-04T00:15:00,2022-09-04T02:02:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",FINAL,סופי
LY,544,EL AL ISRAEL AIRLINES,2022-09-04T02:00:00,2022-09-04T02:04:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,"","",FINAL,סופי
PC,787,PEGASUS AIRLINES,2022-09-04T02:05:00,2022-09-04T02:05:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",NOT FINAL,לא סופי
QAS,9HBBH,QUALITY AIR SERVICES,2022-09-04T02:15:00,2022-09-04T02:15:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,"","",FINAL,סופי
IZ,344,ARKIA  ISRAELI  AIRLINES,2022-09-04T02:20:00,2022-09-04T02:29:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,"","",FINAL,סופי
AF,984,AIR FRANCE,2022-09-04T02:30:00,2022-09-04T02:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,"","",FINAL,סופי
DL,8263,DELTA AIRLINES,2022-09-04T02:30:00,2022-09-04T02:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,"","",FINAL,סופי
DL,9575,DELTA AIRLINES,2022-09-04T02:35:00,2022-09-04T02:45:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",FINAL,סופי
KL,461,K.L.M.,2022-09-04T02:35:00,2022-09-04T02:45:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",FINAL,סופי
QS,0253F,SMARTWINGS,2022-09-04T02:45:00,2022-09-04T02:45:00,A,HRG,HURGHADA,הורגאדה,HURGHADA,מצרים,EGYPT,3,"","",NOT FINAL,לא סופי
TK,810,TURKISH AIRLINES,2022-09-04T02:10:00,2022-09-04T02:45:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",DELAYED,עיכוב
SN,3293,BRUSSELS AIRLINES,2022-09-04T02:40:00,2022-09-04T03:00:00,A,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,"","",FINAL,סופי
LY,340,EL AL ISRAEL AIRLINES,2022-09-04T03:25:00,2022-09-04T03:03:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,"","",FINAL,סופי
XC,495,CORONDON AIRLINES,2022-09-04T03:05:00,2022-09-04T03:05:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",NOT FINAL,לא סופי
XC,431,CORONDON AIRLINES,2022-09-04T03:10:00,2022-09-04T03:10:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",NOT FINAL,לא סופי
AA,8387,AMERICAN AIRLINES,2022-09-04T02:55:00,2022-09-04T03:14:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
AR,7874,AEROLINEAS ARGENTINAS S.A.,2022-09-04T02:55:00,2022-09-04T03:14:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
LY,384,EL AL ISRAEL AIRLINES,2022-09-04T02:55:00,2022-09-04T03:14:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
TP,8897,AIR PORTUGAL,2022-09-04T02:55:00,2022-09-04T03:14:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
6H,894,ISRAIR AIRLINES,2022-09-04T02:50:00,2022-09-04T03:25:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,"","",DELAYED,עיכוב
LY,388,EL AL ISRAEL AIRLINES,2022-09-04T03:40:00,2022-09-04T03:29:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,"","",FINAL,סופי
TP,8901,AIR PORTUGAL,2022-09-04T03:40:00,2022-09-04T03:29:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,"","",FINAL,סופי
LX,256,SWISS INT`L  AIRLINES,2022-09-04T03:35:00,2022-09-04T03:30:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,"","",FINAL,סופי
TK,792,TURKISH AIRLINES,2022-09-04T03:30:00,2022-09-04T03:30:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",NOT FINAL,לא סופי
LO,151,LOT POLISH AIRLINES,2022-09-04T03:45:00,2022-09-04T03:35:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,"","",FINAL,סופי
BT,771,AIR BALTIC,2022-09-04T03:50:00,2022-09-04T03:45:00,A,RIX,RIGA,ריגה,RIGA,לטביה,LATVIA,3,"","",FINAL,סופי
